date,market,strategy,variant_id,total_trades,eligible_trades,realized_win_rate,null_win_rate,edge,p_value,q_value,verdict
2026-07-24,BNB-15m,v_shape,v_0.7_0.3_0.7_0.3_0.15,39,12,0.4166666666666667,0.6666666666666666,-0.24999999999999994,0.12039906593582354,0.40960191133892127,INSUFFICIENT-SAMPLE
2026-07-24,BNB-15m,v_shape,v_0.7_0.3_0.7_0.3_0.2,39,11,0.36363636363636365,0.6,-0.23636363636363633,0.129585664,0.4342256460350877,INSUFFICIENT-SAMPLE
2026-07-24,BNB-15m,v_shape,v_0.7_0.3_0.7_0.6_0.05,39,20,0.75,0.923076923076923,-0.17307692307692302,0.01569008913430518,0.08458729505066946,INSUFFICIENT-SAMPLE
2026-07-24,BNB-15m,v_shape,v_0.7_0.3_0.7_0.6_0.1,39,15,0.6,0.8571428571428572,-0.25714285714285723,0.01333470272400114,0.07306761287700625,INSUFFICIENT-SAMPLE
2026-07-24,BNB-15m,v_shape,v_0.7_0.3_0.7_0.6_0.15,39,11,0.45454545454545453,0.7999999999999999,-0.3454545454545454,0.011654205440000016,0.06894545430654876,INSUFFICIENT-SAMPLE
2026-07-24,BNB-15m,v_shape,v_0.7_0.3_0.7_0.6_0.2,39,10,0.4,0.7499999999999999,-0.34999999999999987,0.01972770690917973,0.10263013283102451,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.2_0.55,13,7,0.2857142857142857,0.6666666666666667,-0.38095238095238104,0.04526748971193411,0.19908761100281552,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.2_0.6,10,7,0.2857142857142857,0.6666666666666667,-0.38095238095238104,0.04526748971193411,0.19908761100281552,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.2_0.65,9,4,0.0,0.6666666666666667,-0.6666666666666667,0.012345679012345668,0.06906348468412618,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.2_0.7,9,5,0.0,0.6666666666666667,-0.6666666666666667,0.004115226337448555,0.02911141594269163,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.2_0.75,6,2,0.0,0.6666666666666667,-0.6666666666666667,0.11111111111111106,0.38386448463967826,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.2_0.8,7,4,0.0,0.6666666666666667,-0.6666666666666667,0.012345679012345668,0.06906348468412618,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.3_0.55,16,6,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.10013717421124832,0.38386448463967826,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.3_0.6,18,7,0.2857142857142857,0.6666666666666667,-0.38095238095238104,0.04526748971193411,0.19908761100281552,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.3_0.65,12,4,0.0,0.6666666666666667,-0.6666666666666667,0.012345679012345668,0.06906348468412618,INSUFFICIENT-SAMPLE
2026-07-24,BNB-4h,reversal,reversal_0.3_0.7,11,8,0.0,0.6666666666666667,-0.6666666666666667,0.0001524157902758723,0.0017719992312942722,INSUFFICIENT-SAMPLE
